title,company,location,posted_date,salary,skills,experience_required,description,employment_type,url,source,repost_count,first_seen,last_seen
Senior Cloud Architect: Enterprise Migrations & DevOps,Olayancareer,"Riyadh, Saudi Arabia",2026-09-10T14:33:14Z,Not Specified,"azure, cloud, devops, gcp, iam",Not Specified,"Olayancareer is seeking a Senior Cloud Architect to design, govern, and deliver secure, scalable cloud solutions across GCP, Azure, and OCI. You will lead migration and modernization initiatives, establish landing zones, and enable DevOps practices to ensure reliable, automated service delivery aligned with business goals. Responsibilities include governance, IAM, security controls, and collaboration with Cloud Engineering, Infrastructure, Security, and DevOps teams to drive enterprise cloud",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10731773__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
DevOps Engineer,Saudi Azm عزم السعودية,"Riyadh, Saudi Arabia",2026-09-10T14:33:14Z,Not Specified,"ansible, automation, aws, azure, azure-devops, bash, ci-cd, cloud, cloud-security, cloudformation, datadog, devops, distributed-systems, docker, elk, flux, gcp, github, github-actions, gitlab, gitops, grafana, infrastructure-as-code, jenkins, kubernetes, linux, microservices, networking, observability, powershell, prometheus, pulumi, puppet, python, secrets-management, serverless, splunk, terraform",Not Specified,"Job Description Key Responsibilities Design, implement, and manage CI/CD pipelines. Automate infrastructure provisioning using Infrastructure as Code (IaC). Deploy and maintain applications across cloud and on-premises environments. Manage containerized workloads using Docker and Kubernetes. Monitor system availability, performance, security, and capacity. Identify and resolve infrastructure, application, and deployment issues. Implement logging, alerting, backup, and disaster-recovery solutions. Apply security best practices throughout the software development lifecycle. Manage source-control strategies, release processes, and environment configurations. Improve platform reliability, scalability, and deployment frequency. Develop scripts and tools to reduce manual operational tasks. Maintain technical documentation, runbooks, and architecture",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10732310__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Cloud Infrastructure & DevOps Engineer (GCP),1Pass,"Jeddah, Saudi Arabia",2026-09-10T14:33:14Z,Not Specified,"automation, aws, azure, bash, ci-cd, cloud, cloud-security, cybersecurity, devops, dns, docker, firewall, gcp, github, github-actions, gitlab, iam, infrastructure-as-code, kubernetes, linux, networking, python, terraform, test-automation, tls, vpc, waf",Not Specified,"Company Description 1Pass is a leading Saudi fitness and wellness platform that provides flexible access to hundreds of gyms, studios, padel courts, spas, and recovery experiences across major cities in the Kingdom. Through a single subscription, users can tailor their wellness journey by choosing activities that fit their goals, schedule, and lifestyle. In addition to its consumer offering, 1Pass delivers comprehensive Corporate Wellness Programs designed to improve employee wellbeing, morale, and productivity while reducing absenteeism. These programs offer data-driven insights, diverse activity options, and flexible activation plans customized to each organization’s needs. 1Pass is focused on building a dynamic, health-centered ecosystem powered by technology and user experience. The Role We are looking for a hands‑on engineer to own the day‑to‑day health of our Google Cloud environment, build and maintain our CI/CD pipelines, and act as",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10732483__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Data Engineer,Telgani | Rent a car,"Riyadh, Saudi Arabia",2026-09-10T14:33:16Z,Not Specified,"analytics, automation, aws, azure, cloud, data-pipelines, data-quality, elt, etl, gcp, python, sql",Not Specified,"Build and maintain ETL/ELT data pipelines Develop and optimize databases and data workflows Ensure data quality, accuracy, and reliability Integrate data from multiple systems and sources Support analytics, reporting, and BI requirements Collaborate with engineering and business teams Requirements: Strong knowledge of SQL and relational databases Experience with Python for data processing and automation Familiarity with data warehouses and ETL/ELT tools Experience with cloud platforms such as AWS, Azure, or Google Cloud Strong problem-solving and analytical skills",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10730613__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Data Engineer: Build Scalable Data Pipelines & Warehouses,Telgani | Rent a car,"Riyadh, Saudi Arabia",2026-09-10T14:33:16Z,Not Specified,"analytics, data-governance, data-pipelines, data-quality, elt, etl",Not Specified,"Telgani | Rent a car in Riyadh is seeking a Data Engineer to build and maintain ETL/ELT data pipelines, develop and optimize databases, and ensure data quality across systems. The role focuses on scalable data workflows and robust data governance to support trusted analytics. You will integrate data from multiple sources to support analytics, reporting, and BI, and collaborate with engineering and business teams to deliver reliable data solutions.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10732073__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Data Analyst Engineer: AI-Driven Power BI Insights,Nexttec Technology Outsourcing,"Jeddah, Saudi Arabia",2026-09-10T14:33:17Z,Not Specified,"ai, analytics, data-governance, powerbi, sql",Not Specified,"Nexttec Technology Outsourcing is seeking an IT Data Analyst to analyze complex datasets and deliver actionable insights. You will build Power BI dashboards and reports across Finance, Procurement, Supply Chain, and Sales, ensuring data governance and standardized visuals. Ideal candidates have 3–7 years in data analysis, strong SQL and BI skills, and familiarity with AI-enabled analytics in tools like Power BI.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10729750__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Data Analyst Engineer Saudi National,Nexttec Technology Outsourcing,"Jeddah, Saudi Arabia",2026-09-10T14:33:17Z,Not Specified,"ai, analytics, automation, data-analytics, data-governance, data-modeling, data-pipelines, data-quality, data-science, data-visualization, data-warehousing, etl, lakehouse, looker, microsoft-fabric, mysql, oracle, power-query, powerbi, python, sql, statistics, tableau",Not Specified,", permanent position Position: Data Analyst Engineer Company Overview: Nexttec Technology Outsourcing is a leading technology outsourcing company that specializes in providing innovative and cost-effective IT solutions to businesses of all sizes. We pride ourselves on our commitment to delivering exceptional services and solutions to our clients, and we are looking for a highly skilled IT Data Analyst to join our team. Position Overview: As an IT Data Analyst at Nexttec Technology Outsourcing, you will be responsible for analyzing and interpreting complex data sets to identify trends, patterns, and insights that will drive business decisions and strategies. You will work closely with our clients to understand their data needs and provide them with actionable insights to improve their business performance. Key Job Duties of an IT Data Analyst Work with business stakeholders to understand their data needs and analytical",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10730814__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Cloud Data Engineer: Azure & Databricks Pipelines,DS DeepSource,Saudi Arabia,2026-09-10T14:33:17Z,Not Specified,"analytics, azure, azure-data-factory, cloud, cloud-native, data-pipelines, data-quality, databricks, pyspark, sql",Not Specified,"DS DeepSource is seeking an L1 Data Engineer to design, build, and maintain scalable data pipelines and data infrastructure in a cloud-native environment. You will work hands-on with Azure Data Factory, Databricks, PySpark, and SQL to support BI and analytics across the organization. The role emphasizes data quality, governance, and scalable architectures, with opportunities to contribute to data platform enhancements in a collaborative, fast-paced team.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10730960__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Presales Engineer – Hyperscale Data Centre,Mannai Corporation QPSC,"Jeddah, Saudi Arabia",2026-09-10T14:33:17Z,Not Specified,"autocad, pre-sales, technical-discovery, transformers, visio",Not Specified,"The Presales Engineer – Hyperscale Data Centre will lead the technical development of secure, resilient, scalable, and commercially competitive data centre solutions from opportunity qualification through contract award and handover. The role will translate customer requirements for capacity, availability, sustainability, compliance, programme, and future growth into integrated solution architectures, basis-of-design documents, technical proposals, BOQs/BOMs, and cost models. Minimum Requirements – Mandatory Candidates must meet the following requirements to be considered for this role: Hands-on involvement in Data Centre facilities with an IT load of 10 MW or above. Strong MEP infrastructure experience covering power, cooling, and mission-critical systems. Key Responsibilities Lead technical qualification of hyperscale data centre opportunities by reviewing RFPs,",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10729892__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Hyperscale Data Centre Presales Engineer,Mannai Corporation QPSC,"Jeddah, Saudi Arabia",2026-09-10T14:33:17Z,Not Specified,pre-sales,Not Specified,"Mannai Corporation QPSC seeks a Presales Engineer – Hyperscale Data Centre to drive technical development from opportunity qualification to award and handover. You will translate customer needs into integrated architectures, cost models, and tender materials, working with OEM partners to ensure compliance and optimal TCO. Requirements include 5–10 years in data centre presales or design, strong MEP knowledge, and regional GCC/KSA exposure.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10730449__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
"Forward Deployed Engineer, GCC",Telnyx,"Riyadh, Saudi Arabia",2026-09-10T15:57:54Z,Not Specified,"ai, api, ci-cd, cloud, cloud-native, conversational-ai, devops, docker, etl, event-driven-architecture, fine-tuning, iam, kubernetes, llm, mistral, mysql, nodejs, observability, ollama, openai, opentelemetry, oracle, postgresql, python, saas, secrets-management, sql, vllm",Not Specified,"About Telnyx Telnyx is an industry leader that's not just imagining the future of global connectivity—we're building it. From architecting and amplifying the reach of a private, global, multi-cloud IP network , to bringing hyperlocal edge technology right to your fingertips through intuitive APIs, we're shaping a new era of seamless interconnection between people, devices, and applications. We're driven by a desire to transform and modernize what's antiquated, automate the manual, and solve real-world problems through innovative connectivity solutions. As a testament to our success, we're proud to stand as a financially stable and profitable company. Our robust profitability allows us not only to invest in pioneering technologies but also to foster an environment of continuous learning and growth for our",Not Specified,https://job-boards.greenhouse.io/telnyx54/jobs/7826744003?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Lead Information Security Engineer (Defensive),tabby,"Riyadh, Saudi Arabia",2026-09-10T16:20:24Z,$10,"aws, ci-cd, cism, cissp, cloud, cloud-security, container-security, cybersecurity, dast, devsecops, dlp, edr, fintech, firewall, gcp, iam, iso-27001, kubernetes, pci-dss, penetration-testing, sast, sdlc, siem, stakeholder-management, terraform, xdr",Not Specified,"Tabby creates financial freedom in the way people shop, earn and save by reshaping their relationship with money. Over 17 million users choose Tabby to stay in control of their spending and make the most out of their money. The company’s flagship offering allows shoppers to split their payments online and in-store with no interest or fees. Over 40,000 global brands and small businesses, including Amazon, Noon, IKEA, and SHEIN use Tabby to accelerate growth and gain loyal customers by offering easy and flexible payments online and in stores. Tabby generates over $10 billion in annual transaction volume for its partner brands and is the highest-rated, most-reviewed, largest, and fastest-growing FinTech in the GCC region. Tabby launched in 2019 and has since raised +$1 billion in equity and debt funding from global and regional investors, and is now valued at $4.5 billion. We are looking for a Lead Cyber Security Engineer to",Not Specified,https://tabby.pinpointhq.com/en/postings/11f47528-b902-4844-b022-2fc173e760f4?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Product & Design Intern (Tabby Imagine),tabby,"Riyadh, Saudi Arabia",2026-09-10T16:20:24Z,Not Specified,"figma, fintech, prototyping",Not Specified,"There is no CV screen for this one. The only way in is Tabby Imagine , an open design and product challenge for Saudi Arabia. Three places are awarded, first, second and third, and each winner takes this role. Come up with a product idea for Tabby: something new, or a change to what is already there. Send it in whatever form shows it best: a written page, a Figma file, a clickable prototype, working code, or a short video. One of them is enough, and there is no required format. Everything reaches us as a link. The entry form requires one and there is no file upload, so a written entry is sent as a link to the written page. Every link has to open for anyone holding it. Our design system is public at . Entries are read blind. Your name is hidden while the panel scores. The strongest entrants present their work live at the final, in front of an audience. That session replaces the interview for this role. Naming you",Not Specified,https://tabby.pinpointhq.com/en/postings/a2ba67df-d612-4588-8d02-c9cc4eb9f060?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Product & Design Intern (Tabby Image),tabby,"Riyadh, Saudi Arabia",2026-09-10T16:20:24Z,Not Specified,"figma, fintech, prototyping",Not Specified,"How you get this role There is no CV screen for this one. The only way in is Tabby Imagine , an open design and product challenge for Saudi Arabia. Three places are awarded, first, second and third, and each winner takes this role. Come up with a product idea for Tabby: something new, or a change to what is already there. Send it in whatever form shows it best: a written page, a Figma file, a clickable prototype, working code, or a short video. One of them is enough, and there is no required format. Everything reaches us as a link. The entry form requires one and there is no file upload, so a written entry is sent as a link to the written page. Every link has to open for anyone holding it. Our design system is public at . Entries are read blind. Your name is hidden while the panel scores. The strongest entrants present their work live at the final, in front of an audience. That session replaces the interview",Not Specified,https://tabby.pinpointhq.com/en/postings/ed3fd640-2960-4a4c-b078-8751fa0df872?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Principal Forward-Deployed Engineer,Thoughtworks,"Riyadh, KSA",2026-09-10T16:27:21Z,Not Specified,"agentic-ai, ai, airflow, analytics, anthropic, api, api-design, aws, azure, bigquery, ci-cd, claude-code, cloud, containerization, dagster, data-engineering, databricks, dbt, devops, docker, event-driven-architecture, figma, gcp, gdpr, hipaa, infrastructure-as-code, kafka, kinesis, kubernetes, langchain, langgraph, langsmith, llamaindex, llm, microservices, nextjs, observability, openai, owasp, pci-dss, pgvector, pinecone, prototyping, python, react, snowflake, tdd, terraform, typescript, vector-databases",Not Specified,"We're looking for a Tech Principal to lead technical strategy and execution on our most ambitious product work: lighthouse projects inside Thoughtworks' global Customer Experience, Product and Design team. Here's the shape of it. A client arrives with a big idea and not much time. Within a few days, you've helped them turn it into a concept everyone agrees on. Within a few weeks, there's something real that customers can actually use and react to. Within a quarter, it's live. Then you do it again, somewhere else in the world, with a different team, and you leave both of them better at it than they were before. If you have built a career integrating strategy, architecture, AI engineering, and executive collaboration, this role offers an ideal platform to leverage those skills. The approach you'd be leading: We call it 3/3/3 3 days: Product concept. Everyone aligned on scope, objectives and",Not Specified,https://www.thoughtworks.com/careers/jobs/8184778?gh_jid=8184778&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Occupational Violence and Aggression Program Manager,Downer,"Adelaide, SA, Australia",2026-09-11T00:00:00Z,Not Specified,stakeholder-management,Not Specified,"We currently have an opportunity for an Occupational Violence & Aggression (OVA) Program Manager . Join our H&S hub and play a key role in leading, coordinating and continuously evolving the OVA Program to strengthen workforce safety, preparedness and organisational resilience. Reporting to the General Manager - Zero Harm, you'll translate strategy into a prioritised portfolio of initiatives and help deliver high-quality outcomes that support our essential services. What You'll Do This role offers a broad scope, with key responsibilities including: Own and maintain the Health & Education OVA Program and roadmap, translating strategy into prioritised initiatives, implementation plans and measurable benefits. Lead OVA governance forums, chair the steering committee, and prepare clear executive papers, recommendations and",Not Specified,https://fa-exfs-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/jobsearch/job/736701?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Sr Principal Professional Services Project Manager,AspenTech,Saudi Arabia,2026-09-11T00:00:00Z,Not Specified,Not Specified,Not Specified,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the envelope, overcoming any hurdle, challenging the status quo to continually find a better way. You will experience these qualities of passion, pride and aspiration in many ways — from a rich set of career development programs to support of community service projects to social events that foster fun and relationship building across our global community. The Role Aspen Technology is seeking an experienced Project Manager to join the Professional Services Project Management Office supporting the Middle East region. The successful candidate will lead the delivery of cutting-edge technology projects for market-leading organizations, ensuring successful execution from initiation through completion. This is a highly visible role offering significant influence with both internal stakeholders and clients,",Not Specified,https://aspentech.wd5.myworkdayjobs.com/AspenTech/job/Saudi-Arabia/Sr-Principal-Professional-Services-Project-Manager_R9436?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Specialist QA & PMS,Stryker,"Riyadh, Riyadh Offices Zone",2026-09-11T00:00:00Z,Not Specified,"iso-13485, regulatory-compliance",Not Specified,"Work Flexibility: Hybrid or Onsite We are looking for a QA & PMS Specialist to support the implementation and maintenance of Quality Assurance and Post Market Surveillance activities across our MENA organization. What you will do: Executing Quality Assurance (QA) and Post Market Surveillance (PMS) activities in line with local, regional, and corporate procedures and requirements. Supporting the implementation and maintenance of the local Quality Management System (QMS) to ensure ongoing regulatory compliance. Coordinating product safety reporting activities and supporting communications with relevant stakeholders, including healthcare professionals, distributors, and regulatory authorities. Supporting the management of quality events, including non-conformances (NCs), corrective and preventive actions (CAPAs), and follow-up activities. Assisting in the",Not Specified,https://stryker.wd1.myworkdayjobs.com/StrykerCareers/job/Riyadh-Riyadh-Offices-Zone/Senior-Specialist-QA---PMS_R563967?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Partner Solutions Architect,Elastic,Saudi Arabia,2026-09-11T00:07:01Z,Not Specified,"accessibility, ai, aws, azure, cloud, cloud-security, elasticsearch, gcp, nlp, observability, pre-sales, sas, semantic-search, siem, vector-search",Not Specified,"Elastic, the Search AI Company, enables everyone to find the answers they need in real time, using all their data, at scale — unleashing the potential of businesses and people. The Elastic Search AI Platform, used by more than 50% of the Fortune 500, brings together the precision of search and the intelligence of AI to enable everyone to accelerate the results that matter. By taking advantage of all structured and unstructured data — securing and protecting private information more effectively — Elastic’s complete, cloud-based solutions for search, security, and observability help organizations deliver on the promise of AI. What is the role The Partner Solutions Architect (PSA) is the technical force multiplier of Elastic's partner ecosystem. Where an account Solutions Architect wins one deal at a time, you build the technical capacity of a focused portfolio of partners — system integrators, resellers, MSSPs and cloud providers — so",Not Specified,https://jobs.elastic.co/jobs?gh_jid=8091966&gh_jid=8091966&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Partner Solutions Architect,Referral Board,Saudi Arabia,2026-09-11T00:07:24Z,Not Specified,"accessibility, ai, aws, azure, cloud, cloud-security, elasticsearch, gcp, nlp, observability, pre-sales, sas, semantic-search, siem, vector-search",Not Specified,"Elastic, the Search AI Company, enables everyone to find the answers they need in real time, using all their data, at scale — unleashing the potential of businesses and people. The Elastic Search AI Platform, used by more than 50% of the Fortune 500, brings together the precision of search and the intelligence of AI to enable everyone to accelerate the results that matter. By taking advantage of all structured and unstructured data — securing and protecting private information more effectively — Elastic’s complete, cloud-based solutions for search, security, and observability help organizations deliver on the promise of AI. What is the role The Partner Solutions Architect (PSA) is the technical force multiplier of Elastic's partner ecosystem. Where an account Solutions Architect wins one deal at a time, you build the technical capacity of a focused portfolio of partners — system integrators, resellers, MSSPs and cloud providers — so",Not Specified,https://job-boards.greenhouse.io/referralsuseonly/jobs/8121425?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
BUSINESS ANALYST - PRODUCT SME - CORPORATE BANKING (COMMERCIAL CARDS),Duncan & Ross,"Riyadh, Saudi Arabia",2026-09-11T06:07:15Z,Not Specified,acceptance-criteria,Not Specified,"Job Purpose Lead the development of business requirements for commercial-card products supporting corporate purchasing, travel and expense-management needs. Key Responsibilities Define commercial-card propositions, customer segments, card types and supported business use cases. Document end-to-end journeys for corporate onboarding, card issuance, activation, servicing, replacement, suspension and closure. Define company-level and cardholder-level limits, merchant-category controls, geographic controls and transaction restrictions. Capture requirements for physical and virtual cards, where applicable. Define billing, repayment, settlement, fees, statements and reconciliation requirements. Document corporate administrator capabilities, cardholder management, approval workflows and expense visibility. Define transaction monitoring, disputed-transaction, chargeback,",Not Specified,https://www.careers-page.com/duncan-ross-management-consultancies/job/5W875V4R?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
BUSINESS ANALYST - PRODUCT SME - CORPORATE BANKING (ESCROW ACCOUNTS),Duncan & Ross,"Riyadh, Saudi Arabia",2026-09-11T06:07:15Z,Not Specified,acceptance-criteria,Not Specified,"Job Purpose Lead the definition of business requirements for corporate escrow account products aligned with Saudi market demand and AJB's corporate banking proposition. The scope excludes REGA-related requirements, which have already been addressed. Key Responsibilities Assess demand for different corporate escrow use cases and define the target product proposition. Define target customer segments, eligibility criteria, account structures and permitted transaction types. Document end-to-end processes for account opening, funding, transaction authorization, fund release, reconciliation, servicing and closure. Define the roles and obligations of the bank, account holder, beneficiary and other involved parties. Document approval structures, conditions for releasing funds, exception scenarios and dispute-handling requirements. Define operational, legal, compliance, reporting,",Not Specified,https://www.careers-page.com/duncan-ross-management-consultancies/job/X987R53R?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
BUSINESS ANALYST - PRODUCT SME - CORPORATE BANKING (PAYMENTS),Duncan & Ross,"Riyadh, Saudi Arabia",2026-09-11T06:07:15Z,Not Specified,"acceptance-criteria, api",Not Specified,"Job Purpose Define the business requirements for corporate payable solutions that enable customers to initiate, approve, process and monitor domestic and cross-border payments efficiently. Key Responsibilities Define payable product features for single, bulk, scheduled and recurring payments. Document end-to-end journeys covering beneficiary management, payment initiation, authorization, processing, tracking, rejection and reversal. Define corporate approval structures, user entitlements, transaction limits and maker-checker workflows. Capture requirements for file upload, host-to-host connectivity, APIs and corporate digital banking channels. Define requirements for payment cut-offs, value dating, fees, foreign exchange, notifications and transaction-status reporting. Document handling requirements for duplicates, insufficient funds, invalid beneficiaries, sanctions alerts and",Not Specified,https://www.careers-page.com/duncan-ross-management-consultancies/job/3W87X5YW?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Video Editor VA (Long-Form Content),jobgether,Saudi Arabia,2026-09-11T08:09:18Z,Not Specified,"ai, davinci-resolve, final-cut-pro, gdpr, premiere-pro, video-editing",Not Specified,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Video Editor VA (Long-Form Content) based in Saudi Arabia. As a Video Editor Virtual Assistant, you will transform raw footage into polished, engaging long-form video content for clients across international markets. You will manage the editing process from footage organization and trimming through final delivery and revisions. The role is ideal for a detail-oriented video editor who understands pacing, transitions, audio quality, and visual consistency. You will work on formats such as podcasts, interviews, training videos, and other full-length content. You will also add basic graphics, text overlays, and light effects when needed to enhance the final product. This is a flexible, part-time contractor opportunity where quality, reliability, organization, and responsiveness to feedback are highly",Not Specified,https://jobs.lever.co/jobgether/2b16a273-9cce-40c3-a5fe-7c8c4b3ecbce?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Podcast Video Editor - SaaS,jobgether,Saudi Arabia,2026-09-11T08:24:44Z,Not Specified,"ai, gdpr, premiere-pro, saas, video-editing",Not Specified,"This position is listed on behalf of a partner company, who manages all applications and next steps. Our partner is looking for a Podcast Video Editor - SaaS based in Saudi Arabia. This role is an opportunity to shape high-quality, YouTube-first podcast content through polished and engaging video editing. You will transform multi-camera recordings into compelling long-form episodes, typically ranging from 60 to 90 minutes. The position combines precise editing, dynamic pacing, audio quality and visual storytelling to keep audiences engaged throughout each episode. You will also identify strong moments for social media and prepare rough vertical cutdowns for short-form distribution. Working within an established creative workflow, you will receive structured feedback while maintaining organised project files that support efficient final production. Strong performance on the initial project can lead to an ongoing creative partnership as the podcast",Not Specified,https://jobs.lever.co/jobgether/991aa62f-5434-4f13-97b1-590c1a9f248a?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
QA Specialist,Naphora Games Group,Saudi Arabia,2026-09-11T11:25:12Z,Not Specified,"analytics, android, automation, game-development, ios, jira, miro, test-automation, unity",Not Specified,"At Naphora Games Group , we’re building more than games, we’re building a global team of ambitious, driven people who are hungry to learn, experiment, and raise the bar for the next generation of games. We collaborate openly, move fast, and challenge ourselves every day to build better, smarter, and faster. Our goal is to create world-class games that players around the globe love and remember. If you thrive in a high-performance, ownership-driven environment and want to make a real impact, you’ll fit right in with us. Role Summary We’re looking for a QA Specialist to join our growing team at Naphora Games Group and help us deliver high-quality mobile games. You’ll work hands-on with game builds, features, prototypes, and releases, helping ensure our games are stable, polished, and ready for players by identifying and documenting issues, validating fixes, and testing the overall player",Not Specified,https://job-boards.eu.greenhouse.io/alemnafora/jobs/4974299101?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Sales Engineer | KSA,Hudson IT and Manpower,"Al Jubail, Eastern Province, Saudi Arabia",2026-09-11T12:23:22Z,Not Specified,Not Specified,Not Specified,"We currently have an urgent requirement for the position of * Sales Engineer * for reputed Oil & Gas Company for their Workshop Requirement in * Saudi Arabia* Specialization : Manufacturing of pressure vessels, tanks, heat exchangers, Pipings Experience in industrial fabrication, Oil & Gas, pressure vessels, heat exchangers, structural steel, and related engineering projects, preferably with Saudi Aramco, SABIC, and EPC clients. Responsible for identifying business opportunities, developing client relationships, understanding project requirements, reviewing RFQs, drawings, specifications, and MTOs, and coordinating with engineering, procurement, QA/QC, and fabrication teams to prepare competitive technical and commercial offers. Responsible for preparing quotations, scope reviews, technical clarifications, cost estimates, follow-ups, negotiations, and order execution coordination. Should have good knowledge of",Not Specified,https://hudsonmanpower.recruitee.com/o/sales-engineer-ksa?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Staff Software Engineer,Client of Michael Page,"Riyadh, Saudi Arabia",2026-09-11T13:31:17Z,Not Specified,"erp, java, kafka, microservices, saas, spring",Not Specified,Job Summary Work with a leading emerging Tech company Sector Technology Subsector IT Development Industry Technology amp Telecoms Location Riyadh. Contract type Permanent. Consultant name Farhan Khan. Job reference JN-PHONE NUMBER. Benefits Attractive salary with family benefits and relocation allowance if applicable. Comprehensive medical coverage. Schooling benefits for dependents. Attractive Package with Family Benefits and Relocation if applicable. Responsibilities Lead the modernisation of legacy systems to improve performance and scalability. Design and implement distributed data solutions. Collaborate with cross-functional teams to align software solutions with business needs. Ensure the reliability and efficiency of software systems. Identify and resolve technical challenges in system architecture. Contribute to the development of technical,Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10734327__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Software Engineer - District Cooling Systems,OpenTalent,"Riyadh, Saudi Arabia",2026-09-11T13:31:19Z,Not Specified,design-patterns,Not Specified,"Parsons in the Airport Systems unit is seeking a District Cooling Engineer focused on software to design, develop and maintain scalable software systems for critical infrastructure. You will write clean, well-tested code, participate in code reviews and contribute to engineering best practices, while collaborating with product and design teams to deliver features using solid design patterns and architectures.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10733726__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
